lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
_2025-07-16_13:00,7,2025-07-16,コア,13:00,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-07-17_13:00,9,2025-07-17,コア,13:00,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Provider Burnout (2025.07.17),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-07-18_13:00,11,2025-07-18,コア,13:00,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Case-Based Discussion (2025.07.18),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-09-29_15:00,22,2025-09-29,午後,15:00,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ① (2025.09.29),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-09-30_15:00,25,2025-09-30,午後,15:00,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ② (2025.09.30),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-10-01_15:00,28,2025-10-01,午後,15:00,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ③ (2025.10.01),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-10-10_18:30,34,2025-10-10,夕方,18:30,Fukashi Udaka,神経内科,[神経内科] Fukashi Udaka - Approach to care for elderly patients with dementia (2025.10.10),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-12-01_14:00,61,2025-12-01,午後,14:00,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.01),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-12-03_14:00,66,2025-12-03,午後,14:00,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.03),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
_2025-12-04_14:00,69,2025-12-04,午後,14:00,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.04),,no_zoom_url,,,,Zoom URL/Meeting IDなし,2026-03-26 10:13:07
86347393117_2025-07-14_07:30,2,2025-07-14,早朝,07:30,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Neurobiology of Addiction (2025.07.14),86347393117,not_found,,,,Meeting ID 86347393117 の 2025-07-14 に該当録画なし,2026-03-26 10:13:07
89908616798_2025-07-14_13:00,3,2025-07-14,コア,13:00,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - History Taking (2025.07.14),89908616798,not_found,,,,Meeting ID 89908616798 の 2025-07-14 に該当録画なし,2026-03-26 10:13:07
86347393117_2025-07-15_07:30,4,2025-07-15,早朝,07:30,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Screening and Brief Intervention (2025.07.15),86347393117,not_found,,,,Meeting ID 86347393117 の 2025-07-15 に該当録画なし,2026-03-26 10:13:07
89908616798_2025-07-15_13:00,5,2025-07-15,コア,13:00,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Physical Examination (2025.07.15),89908616798,not_found,,,,Meeting ID 89908616798 の 2025-07-15 に該当録画なし,2026-03-26 10:13:07
86347393117_2025-07-16_07:30,6,2025-07-16,早朝,07:30,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),86347393117,not_found,,,,Meeting ID 86347393117 の 2025-07-16 に該当録画なし,2026-03-26 10:13:07
86347393117_2025-07-17_07:30,8,2025-07-17,早朝,07:30,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Treatment (2025.07.17),86347393117,not_found,,,,Meeting ID 86347393117 の 2025-07-17 に該当録画なし,2026-03-26 10:13:07
86347393117_2025-07-18_07:30,10,2025-07-18,早朝,07:30,Dr. Michele Pangilinan,産婦人科,[産婦人科] Dr. Michele Pangilinan - Neonatal/Child Issues (2025.07.18),86347393117,not_found,,,,Meeting ID 86347393117 の 2025-07-18 に該当録画なし,2026-03-26 10:13:07
89383677945_2025-09-01_07:30,12,2025-09-01,早朝,07:30,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Case Conference by Dr.Arimoto (2025.09.01),89383677945,not_found,,,,Meeting ID 89383677945 の 2025-09-01 に該当録画なし,2026-03-26 10:13:07
89383677945_2025-09-02_07:30,13,2025-09-02,早朝,07:30,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Case Conference by Dr.Hiyajo (2025.09.02),89383677945,not_found,,,,Meeting ID 89383677945 の 2025-09-02 に該当録画なし,2026-03-26 10:13:07
88433511829_2025-09-02_13:00,14,2025-09-02,コア,13:00,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Cutaneous manifestations of systemic disease (2025.09.02),88433511829,not_found,,,,Meeting ID 88433511829 の 2025-09-02 に該当録画なし,2026-03-26 10:13:07
89383677945_2025-09-03_07:30,15,2025-09-03,早朝,07:30,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Case Conference by Dr. Yagi (2025.09.03),89383677945,not_found,,,,Meeting ID 89383677945 の 2025-09-03 に該当録画なし,2026-03-26 10:13:07
88433511829_2025-09-03_13:00,16,2025-09-03,コア,13:00,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Physical examination differentiation between pneumonia and pleural fusion (2025.09.03),88433511829,not_found,,,,Meeting ID 88433511829 の 2025-09-03 に該当録画なし,2026-03-26 10:13:07
89383677945_2025-09-04_07:30,17,2025-09-04,早朝,07:30,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Case Conference by Dr.Kinjo (2025.09.04),89383677945,not_found,,,,Meeting ID 89383677945 の 2025-09-04 に該当録画なし,2026-03-26 10:13:07
88433511829_2025-09-04_13:00,18,2025-09-04,コア,13:00,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Is the neurological examination still valid in the era of the MRI scanner? (2025.09.04),88433511829,not_found,,,,Meeting ID 88433511829 の 2025-09-04 に該当録画なし,2026-03-26 10:13:07
89383677945_2025-09-05_07:30,19,2025-09-05,早朝,07:30,Dr.Joel Branch,内科コンサルタント,[内科] Dr.Joel Branch - Case Conference by Dr.Masuda (2025.09.05),89383677945,not_found,,,,Meeting ID 89383677945 の 2025-09-05 に該当録画なし,2026-03-26 10:13:07
88633785145_2025-09-29_07:30,20,2025-09-29,早朝,07:30,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - How to evaluate JVP (2025.09.29),88633785145,not_found,,,,Meeting ID 88633785145 の 2025-09-29 に該当録画なし,2026-03-26 10:13:07
88631600592_2025-09-29_13:00,21,2025-09-29,コア,13:00,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - Practical auscultation training ① (2025.09.29),88631600592,not_found,,,,Meeting ID 88631600592 の 2025-09-29 に該当録画なし,2026-03-26 10:13:07
88633785145_2025-09-30_07:30,23,2025-09-30,早朝,07:30,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - How to perform cardiac auscultation (2025.09.30),88633785145,not_found,,,,Meeting ID 88633785145 の 2025-09-30 に該当録画なし,2026-03-26 10:13:07
88631600592_2025-09-30_13:00,24,2025-09-30,コア,13:00,Kazuhito Hirata,循環器内科,[循環器] Kazuhito Hirata - Practical auscultation training ② (2025.09.30),88631600592,not_found,,,,Meeting ID 88631600592 の 2025-09-30 に該当録画なし,2026-03-26 10:13:07
