lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
83864831976_2026-06-08_07:30,99,2026-06-08,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 34-year-old Male with Fluctuating Neuromuscular Symptoms (2026.06.08),83864831976,skipped_resume,shared_screen_with_speaker_view,74.7,,突合成功: shared_screen_with_speaker_view (74.7 MB),2026-06-24 09:58:39
84928270838_2026-06-08_13:00,100,2026-06-08,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - POCUS: Applications in Hospital Medicine (2026.06.08),84928270838,skipped_resume,shared_screen_with_speaker_view,61.7,,突合成功: shared_screen_with_speaker_view (61.7 MB),2026-06-24 09:58:39
83864831976_2026-06-09_07:30,101,2026-06-09,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 93-year-old Female with Neck pain (2026.06.09),83864831976,skipped_resume,shared_screen_with_speaker_view,74.7,,突合成功: shared_screen_with_speaker_view (74.7 MB),2026-06-24 09:58:39
84928270838_2026-06-09_13:00,102,2026-06-09,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Things We Do For No Kumu'ole (Reason) in Hospital Medicine (2026.06.09),84928270838,skipped_resume,shared_screen_with_speaker_view,56.4,,突合成功: shared_screen_with_speaker_view (56.4 MB),2026-06-24 09:58:39
83864831976_2026-06-10_07:30,103,2026-06-10,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Teaching How to Think: Addressing Diagnostic Error on the Wards (2026.06.10),83864831976,skipped_resume,shared_screen_with_speaker_view,87.8,,突合成功: shared_screen_with_speaker_view (87.8 MB),2026-06-24 09:58:39
83650922155_2026-06-10_14:00,104,2026-06-10,午後,14:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Updates in Hospital Medicine: Practice Informing Articles from Late 2025 (2026.06.10),83650922155,not_found,,,,Meeting ID 83650922155 の 2026-06-10 に該当録画なし,2026-06-24 09:58:39
83864831976_2026-06-11_07:30,105,2026-06-11,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 41-year-old Male with Joint pain (2026.06.11),83864831976,skipped_resume,shared_screen_with_speaker_view,68.7,,突合成功: shared_screen_with_speaker_view (68.7 MB),2026-06-24 09:58:39
84928270838_2026-06-11_13:00,106,2026-06-11,コア,13:00,Dr. Kuo Chiang Lian,総合内科,"[総合内科] Dr. Kuo Chiang Lian - Do As Much Nothing As Possible: Minimizing Harm, Reducing Waste, and Maximizing Thriving in the Hospital (2026.06.11)",84928270838,skipped_resume,shared_screen_with_speaker_view,56.1,,突合成功: shared_screen_with_speaker_view (56.1 MB),2026-06-24 09:58:39
83864831976_2026-06-12_07:30,107,2026-06-12,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,"[総合内科] Dr. Kuo Chiang Lian - A Woman with Fever, Rash, and Gait Disturbance (2026.06.12)",83864831976,skipped_resume,shared_screen_with_speaker_view,71.8,,突合成功: shared_screen_with_speaker_view (71.8 MB),2026-06-24 09:58:39
84928270838_2026-06-12_13:00,108,2026-06-12,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Are You Happy? Physician Burnout and Wellness (2026.06.12),84928270838,skipped_resume,shared_screen_with_speaker_view,65.3,,突合成功: shared_screen_with_speaker_view (65.3 MB),2026-06-24 09:58:39
82313864532_2026-06-15_07:30,109,2026-06-15,早朝,07:30,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Chest Wall Deformities (2026.06.15),82313864532,downloaded,shared_screen_with_speaker_view,82.1,downloads\Dr. Shin Miyata\2026-06-15\[小児外科] Dr. Shin Miyata - Chest Wall Deformities (2026.06.15).mp4,突合成功: shared_screen_with_speaker_view (82.1 MB),2026-06-24 09:58:45
82313864532_2026-06-16_07:30,110,2026-06-16,早朝,07:30,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Emesis in children (2026.06.16),82313864532,downloaded,shared_screen_with_speaker_view,86.0,downloads\Dr. Shin Miyata\2026-06-16\[小児外科] Dr. Shin Miyata - Emesis in children (2026.06.16).mp4,突合成功: shared_screen_with_speaker_view (86.0 MB),2026-06-24 09:58:51
82071487152_2026-06-16_13:00,111,2026-06-16,コア,13:00,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Life and Pediatric Surgery Training of US Pediatric Surgeons: US-Japan Comparison (2026.06.16),82071487152,not_found,,,,Meeting ID 82071487152 の 2026-06-16 に該当録画なし,2026-06-24 09:58:51
82313864532_2026-06-17_07:30,112,2026-06-17,早朝,07:30,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Pediatric Trauma (2026.06.17),82313864532,downloaded,shared_screen_with_speaker_view,106.8,downloads\Dr. Shin Miyata\2026-06-17\[小児外科] Dr. Shin Miyata - Pediatric Trauma (2026.06.17).mp4,突合成功: shared_screen_with_speaker_view (106.8 MB),2026-06-24 09:58:58
82313864532_2026-06-18_07:30,113,2026-06-18,早朝,07:30,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Commonな小児外科手術のHow I Do it (2026.06.18),82313864532,downloaded,shared_screen_with_speaker_view(CC),144.1,downloads\Dr. Shin Miyata\2026-06-18\[小児外科] Dr. Shin Miyata - Commonな小児外科手術のHow I Do it (2026.06.18).mp4,突合成功: shared_screen_with_speaker_view(CC) (144.1 MB),2026-06-24 09:59:11
82313864532_2026-06-19_07:30,114,2026-06-19,早朝,07:30,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Surgery for Anorectal Malformation and Hirschsprung's Disease (2026.06.19),82313864532,downloaded,shared_screen_with_speaker_view,270.7,downloads\Dr. Shin Miyata\2026-06-19\[小児外科] Dr. Shin Miyata - Surgery for Anorectal Malformation and Hirschsprung's Disease (2026.06.19).mp4,突合成功: shared_screen_with_speaker_view (270.7 MB),2026-06-24 09:59:24
83383027017_2026-06-19_14:00,115,2026-06-19,午後,14:00,Dr. Shin Miyata,小児外科,[小児外科] Dr. Shin Miyata - Life and Pediatric Surgery Training of US Pediatric Surgeons: US-Japan Comparison (2026.06.19),83383027017,not_found,,,,Meeting ID 83383027017 の 2026-06-19 に該当録画なし,2026-06-24 09:59:24
