lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
83864831976_2026-06-08_07:30,99,2026-06-08,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 34-year-old Male with Fluctuating Neuromuscular Symptoms (2026.06.08),83864831976,downloaded,shared_screen_with_speaker_view,74.7,downloads\Dr. Kuo Chiang Lian\2026-06-08\[総合内科] Dr. Kuo Chiang Lian - 34-year-old Male with Fluctuating Neuromuscular Symptoms (2026.06.08).mp4,突合成功: shared_screen_with_speaker_view (74.7 MB),2026-06-12 14:51:15
84928270838_2026-06-08_13:00,100,2026-06-08,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - POCUS: Applications in Hospital Medicine (2026.06.08),84928270838,downloaded,shared_screen_with_speaker_view,61.7,downloads\Dr. Kuo Chiang Lian\2026-06-08\[総合内科] Dr. Kuo Chiang Lian - POCUS_ Applications in Hospital Medicine (2026.06.08).mp4,突合成功: shared_screen_with_speaker_view (61.7 MB),2026-06-12 14:51:20
83864831976_2026-06-09_07:30,101,2026-06-09,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 93-year-old Female with Neck pain (2026.06.09),83864831976,downloaded,shared_screen_with_speaker_view,74.7,downloads\Dr. Kuo Chiang Lian\2026-06-09\[総合内科] Dr. Kuo Chiang Lian - 93-year-old Female with Neck pain (2026.06.09).mp4,突合成功: shared_screen_with_speaker_view (74.7 MB),2026-06-12 14:51:24
84928270838_2026-06-09_13:00,102,2026-06-09,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Things We Do For No Kumu'ole (Reason) in Hospital Medicine (2026.06.09),84928270838,downloaded,shared_screen_with_speaker_view,56.4,downloads\Dr. Kuo Chiang Lian\2026-06-09\[総合内科] Dr. Kuo Chiang Lian - Things We Do For No Kumu'ole (Reason) in Hospital Medicine (2026.06.09).mp4,突合成功: shared_screen_with_speaker_view (56.4 MB),2026-06-12 14:51:29
83864831976_2026-06-10_07:30,103,2026-06-10,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Teaching How to Think: Addressing Diagnostic Error on the Wards (2026.06.10),83864831976,downloaded,shared_screen_with_speaker_view,87.8,downloads\Dr. Kuo Chiang Lian\2026-06-10\[総合内科] Dr. Kuo Chiang Lian - Teaching How to Think_ Addressing Diagnostic Error on the Wards (2026.06.10).mp4,突合成功: shared_screen_with_speaker_view (87.8 MB),2026-06-12 14:51:35
83650922155_2026-06-10_14:00,104,2026-06-10,午後,14:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Updates in Hospital Medicine: Practice Informing Articles from Late 2025 (2026.06.10),83650922155,not_found,,,,Meeting ID 83650922155 の 2026-06-10 に該当録画なし,2026-06-12 14:51:35
83864831976_2026-06-11_07:30,105,2026-06-11,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - 41-year-old Male with Joint pain (2026.06.11),83864831976,downloaded,shared_screen_with_speaker_view,68.7,downloads\Dr. Kuo Chiang Lian\2026-06-11\[総合内科] Dr. Kuo Chiang Lian - 41-year-old Male with Joint pain (2026.06.11).mp4,突合成功: shared_screen_with_speaker_view (68.7 MB),2026-06-12 14:51:40
84928270838_2026-06-11_13:00,106,2026-06-11,コア,13:00,Dr. Kuo Chiang Lian,総合内科,"[総合内科] Dr. Kuo Chiang Lian - Do As Much Nothing As Possible: Minimizing Harm, Reducing Waste, and Maximizing Thriving in the Hospital (2026.06.11)",84928270838,downloaded,shared_screen_with_speaker_view,56.1,"downloads\Dr. Kuo Chiang Lian\2026-06-11\[総合内科] Dr. Kuo Chiang Lian - Do As Much Nothing As Possible_ Minimizing Harm, Reducing Waste, and Maximizing Thriving in the Hospital (2026.06.11).mp4",突合成功: shared_screen_with_speaker_view (56.1 MB),2026-06-12 14:51:45
83864831976_2026-06-12_07:30,107,2026-06-12,早朝,07:30,Dr. Kuo Chiang Lian,総合内科,"[総合内科] Dr. Kuo Chiang Lian - A Woman with Fever, Rash, and Gait Disturbance (2026.06.12)",83864831976,downloaded,shared_screen_with_speaker_view,71.8,"downloads\Dr. Kuo Chiang Lian\2026-06-12\[総合内科] Dr. Kuo Chiang Lian - A Woman with Fever, Rash, and Gait Disturbance (2026.06.12).mp4",突合成功: shared_screen_with_speaker_view (71.8 MB),2026-06-12 14:51:50
84928270838_2026-06-12_13:00,108,2026-06-12,コア,13:00,Dr. Kuo Chiang Lian,総合内科,[総合内科] Dr. Kuo Chiang Lian - Are You Happy? Physician Burnout and Wellness (2026.06.12),84928270838,downloaded,shared_screen_with_speaker_view,72.5,downloads\Dr. Kuo Chiang Lian\2026-06-12\[総合内科] Dr. Kuo Chiang Lian - Are You Happy_ Physician Burnout and Wellness (2026.06.12).mp4,突合成功: shared_screen_with_speaker_view (72.5 MB),2026-06-12 14:51:56
