講師名（英語）,専門科,所属,レクチャータイトル（英語）,配信用動画タイトル,パスコード,Vimeo動画のlink
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Neurobiology of Addiction,[産婦人科] Dr. Michele Pangilinan - Neurobiology of Addiction (2025.07.14),955407,
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",History Taking,[産婦人科] Dr. Michele Pangilinan - History Taking (2025.07.14),583722,https://vimeo.com/1154202805
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Screening and Brief Intervention,[産婦人科] Dr. Michele Pangilinan - Screening and Brief Intervention (2025.07.15),955407,https://vimeo.com/1154202922
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Physical Examination,[産婦人科] Dr. Michele Pangilinan - Physical Examination (2025.07.15),583722,https://vimeo.com/1154203094
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Trauma-Informed Care,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),955407,https://vimeo.com/1154203273
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Trauma-Informed Care,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),,https://vimeo.com/1154203273
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Treatment,[産婦人科] Dr. Michele Pangilinan - Treatment (2025.07.17),955407,https://vimeo.com/1154203371
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Provider Burnout,[産婦人科] Dr. Michele Pangilinan - Provider Burnout (2025.07.17),,
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Neonatal/Child Issues,[産婦人科] Dr. Michele Pangilinan - Neonatal/Child Issues (2025.07.18),955407,https://vimeo.com/1176801133
Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",Case-Based Discussion,[産婦人科] Dr. Michele Pangilinan - Case-Based Discussion (2025.07.18),,
Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",Case Conference by Dr.Arimoto,[内科] Dr.Joel Branch - Case Conference by Dr.Arimoto (2025.09.01),189514,https://vimeo.com/1154203625
