区分,講師No.,講師名（日本語）,講師名（英語）,専門科,所属,日付,時間帯,開始時刻,終了時刻,場所,レクチャータイトル（日本語）,レクチャータイトル（英語）,配信用動画タイトル,Zoom URL,ミーティングID,パスコード,備考,status,video_uri,link
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/14,早朝,7:30,8:10,周産期カンファ室,Neurobiology of Addiction,Neurobiology of Addiction,[産婦人科] Dr. Michele Pangilinan - Neurobiology of Addiction (2025.07.14),https://us06web.zoom.us/j/86347393117?pwd=JgqO3eELRe2kgnsTUaHt8e8kNMRMxb.1,863 4739 3117,955407,早朝レクチャー（7:30～8:10）,missing,,
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/14,コア,13:00,13:30,第1会議室,History Taking,History Taking,[産婦人科] Dr. Michele Pangilinan - History Taking (2025.07.14),https://us06web.zoom.us/j/89908616798?pwd=yqQTGFX4P07wXyKXvygOtTpxvEug60.1,899 0861 6798,583722,コアレクチャー（13:00～13:30）,skipped(already_on_vimeo),,https://vimeo.com/1154202805
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/15,早朝,7:30,8:10,周産期カンファ室,Screening and Brief Intervention,Screening and Brief Intervention,[産婦人科] Dr. Michele Pangilinan - Screening and Brief Intervention (2025.07.15),https://us06web.zoom.us/j/86347393117?pwd=JgqO3eELRe2kgnsTUaHt8e8kNMRMxb.1,863 4739 3117,955407,早朝レクチャー（7:30～8:10）,skipped(already_on_vimeo),,https://vimeo.com/1154202922
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/15,コア,13:00,13:30,ハワイ大図書室,Physical Examination,Physical Examination,[産婦人科] Dr. Michele Pangilinan - Physical Examination (2025.07.15),https://us06web.zoom.us/j/89908616798?pwd=yqQTGFX4P07wXyKXvygOtTpxvEug60.1,899 0861 6798,583722,コアレクチャー（13:00～13:30）,skipped(already_on_vimeo),,https://vimeo.com/1154203094
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/16,早朝,7:30,8:10,周産期カンファ室,Trauma-Informed Care,Trauma-Informed Care,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),https://us06web.zoom.us/j/86347393117?pwd=JgqO3eELRe2kgnsTUaHt8e8kNMRMxb.1,863 4739 3117,955407,早朝レクチャー（7:30～8:10）,skipped(already_on_vimeo),,https://vimeo.com/1154203273
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/16,コア,13:00,13:30,周産期カンファ室,Trauma-Informed Care,Trauma-Informed Care,[産婦人科] Dr. Michele Pangilinan - Trauma-Informed Care (2025.07.16),,,,インタラクティブ・シミュレーション（13:00～13:30）,skipped(already_on_vimeo),,https://vimeo.com/1154203273
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/17,早朝,7:30,8:10,周産期カンファ室,Treatment,Treatment,[産婦人科] Dr. Michele Pangilinan - Treatment (2025.07.17),https://us06web.zoom.us/j/86347393117?pwd=JgqO3eELRe2kgnsTUaHt8e8kNMRMxb.1,863 4739 3117,955407,早朝レクチャー（7:30～8:10）,skipped(already_on_vimeo),,https://vimeo.com/1154203371
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/17,コア,13:00,13:30,周産期カンファ室,Provider Burnout,Provider Burnout,[産婦人科] Dr. Michele Pangilinan - Provider Burnout (2025.07.17),,,,インタラクティブ・ディスカッション（13:00～13:30）,missing,,
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/18,早朝,7:30,8:10,周産期カンファ室,Neonatal/Child Issues,Neonatal/Child Issues,[産婦人科] Dr. Michele Pangilinan - Neonatal/Child Issues (2025.07.18),https://us06web.zoom.us/j/86347393117?pwd=JgqO3eELRe2kgnsTUaHt8e8kNMRMxb.1,863 4739 3117,955407,早朝レクチャー（7:30～8:10）,skipped(already_on_vimeo),,https://vimeo.com/1176801133
短期,,ミシェル・パンギリナン,Dr. Michele Pangilinan,産婦人科,"Assistant Professor, Department of Obsterics Gynecologyand Women’s Health",2025/7/18,コア,13:00,13:30,周産期カンファ室,Case-Based Discussion,Case-Based Discussion,[産婦人科] Dr. Michele Pangilinan - Case-Based Discussion (2025.07.18),,,,ケースベース・ディスカッション（13:00～13:30）,missing,,
